DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location,Supervisor Districts,Fire Prevention Districts,Current Police Districts,Neighborhoods - Analysis Boundaries,Zip Codes
2,Tuesday,10AM,6PM,19MFF-00105,773 MARKET ST,Pushcart located on Market St. 7 linear feet West of the Fire Hydrant. Must maintain 8 linear feet clearance from Street Artist Booth M22. Reference Street Artist Map #14 (http://www.sfartscommission.org/street_artists_program/maps/index.html),"Kettle Corn, Funnel Cakes, Lemonade, Beverages, Flan, Hot Dogs, Falafel, Hot and Cold Sandwiches, French Fries, Baklava and Pastries",1341056,,10:00,18:00,8746103,11/15/2011 01:48:04 PM,11/15/2011 01:50:08 PM,3706,096,N,Kettle Corn Star,6011164.82111,2114324.40143,37.786160934428665,-122.40512731130576,"(37.7861609344287, -122.405127311306)",9,12,2,8,28853
1,Monday,10AM,6PM,19MFF-00105,773 MARKET ST,Pushcart located on Market St. 7 linear feet West of the Fire Hydrant. Must maintain 8 linear feet clearance from Street Artist Booth M22. Reference Street Artist Map #14 (http://www.sfartscommission.org/street_artists_program/maps/index.html),"Kettle Corn, Funnel Cakes, Lemonade, Beverages, Flan, Hot Dogs, Falafel, Hot and Cold Sandwiches, French Fries, Baklava and Pastries",1341056,,10:00,18:00,8746103,11/15/2011 01:48:04 PM,11/15/2011 01:50:08 PM,3706,096,N,Kettle Corn Star,6011164.82111,2114324.40143,37.786160934428665,-122.40512731130576,"(37.7861609344287, -122.405127311306)",9,12,2,8,28853
5,Friday,10AM,6PM,19MFF-00105,773 MARKET ST,Pushcart located on Market St. 7 linear feet West of the Fire Hydrant. Must maintain 8 linear feet clearance from Street Artist Booth M22. Reference Street Artist Map #14 (http://www.sfartscommission.org/street_artists_program/maps/index.html),"Kettle Corn, Funnel Cakes, Lemonade, Beverages, Flan, Hot Dogs, Falafel, Hot and Cold Sandwiches, French Fries, Baklava and Pastries",1341056,,10:00,18:00,8746103,11/15/2011 01:48:04 PM,11/15/2011 01:50:08 PM,3706,096,N,Kettle Corn Star,6011164.82111,2114324.40143,37.786160934428665,-122.40512731130576,"(37.7861609344287, -122.405127311306)",9,12,2,8,28853
5,Friday,8AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,08:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
3,Wednesday,7AM,8AM,19MFF-00054,Assessors Block 8720/Lot009,"Setup at 325 China Basin St. 9:30am-10:30am, 11:30am-12:30pm","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks",1336678,,07:00,08:00,15024000,06/16/2011 02:31:15 PM,06/16/2011 02:31:49 PM,8720,009,Y,Mike's Catering,6016084.593,2109122.779,37.772152243244449,-122.38774298411559,"(37.7721522432444, -122.387742984116)",9,14,3,4,310
2,Tuesday,8AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,08:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
1,Monday,8AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,08:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
5,Friday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
1,Monday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
0,Sunday,11AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,11:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
4,Thursday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
3,Wednesday,8AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,08:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
6,Saturday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
0,Sunday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
2,Tuesday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
3,Wednesday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
4,Thursday,7AM,7PM,19MFF-00021,999 DIVISADERO ST,07:00am-07:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328729,,07:00,19:00,4806101,07/28/2011 03:48:34 PM,07/28/2011 03:49:12 PM,1156,034,N,Linda's Catering,6001429.29726,2111812.45298,37.778714701469028,-122.43862952870502,"(37.778714701469, -122.438629528705)",11,15,8,39,29490
1,Monday,10AM,11AM,19MFF-00021,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328727,,10:00,11:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,055,N,Linda's Catering,6013050.80889,2111752.23549,37.779203613561471,-122.39842170074918,"(37.7792036135615, -122.398421700749)",9,6,2,34,28856
2,Tuesday,7AM,7PM,19MFF-00021,999 DIVISADERO ST,07:00am-07:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328729,,07:00,19:00,4806101,07/28/2011 03:48:34 PM,07/28/2011 03:49:12 PM,1156,034,N,Linda's Catering,6001429.29726,2111812.45298,37.778714701469028,-122.43862952870502,"(37.778714701469, -122.438629528705)",11,15,8,39,29490
1,Monday,10AM,3PM,19MFF-00021,290 TOWNSEND ST,10:00am-3:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328723,,10:00,15:00,12662000,07/28/2011 02:28:19 PM,07/28/2011 02:28:35 PM,3787,028,N,Linda's Catering,6014079.55674,2111038.10448,37.77730002627586,-122.39481278479886,"(37.7773000262759, -122.394812784799)",9,6,2,34,28856
3,Wednesday,7AM,7PM,19MFF-00021,999 DIVISADERO ST,07:00am-07:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328729,,07:00,19:00,4806101,07/28/2011 03:48:34 PM,07/28/2011 03:49:12 PM,1156,034,N,Linda's Catering,6001429.29726,2111812.45298,37.778714701469028,-122.43862952870502,"(37.778714701469, -122.438629528705)",11,15,8,39,29490
5,Friday,12PM,10PM,19MFF-00021,260 TOWNSEND ST,12:00pm-10:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328724,,12:00,22:00,12662000,07/28/2011 03:47:19 PM,07/28/2011 03:48:03 PM,3787,024,N,Linda's Catering,6014282.70792,2111232.20872,37.77784428606796,-122.39412360606173,"(37.777844286068, -122.394123606062)",9,6,2,34,28856
4,Thursday,10AM,11AM,19MFF-00021,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328727,,10:00,11:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,055,N,Linda's Catering,6013050.80889,2111752.23549,37.779203613561471,-122.39842170074918,"(37.7792036135615, -122.398421700749)",9,6,2,34,28856
6,Saturday,9AM,5PM,19MFF-00021,1219 07TH AVE,Set-up at 1209 7th Avenue,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328728,,09:00,17:00,358000,07/28/2011 03:59:50 PM,07/28/2011 04:00:09 PM,1743,003,N,Linda's Catering,5993899.72394,2107188.91099,37.765588472761685,-122.46434127652903,"(37.7655884727617, -122.464341276529)",11,11,8,14,56
5,Friday,10AM,12PM,19MFF-00021,501 02ND ST,10:30am-12:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328725,,10:00,12:00,142000,07/28/2011 02:29:06 PM,07/28/2011 02:29:24 PM,3774,067,N,Linda's Catering,6014484.53785,2113145.45519,37.783108842973789,-122.39355933745992,"(37.7831088429738, -122.39355933746)",9,6,2,8,28856
4,Thursday,10AM,12PM,19MFF-00021,501 02ND ST,10:30am-12:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328725,,10:00,12:00,142000,07/28/2011 02:29:06 PM,07/28/2011 02:29:24 PM,3774,067,N,Linda's Catering,6014484.53785,2113145.45519,37.783108842973789,-122.39355933745992,"(37.7831088429738, -122.39355933746)",9,6,2,8,28856
3,Wednesday,9AM,11AM,19MFF-00021,501 BEALE ST,9:30am-10:30am,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328726,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,004,N,Linda's Catering,6015664.82698,2114260.34377,37.786235585849759,-122.38955386959697,"(37.7862355858498, -122.389553869597)",9,6,2,8,28855
6,Saturday,7AM,7PM,19MFF-00021,999 DIVISADERO ST,07:00am-07:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328729,,07:00,19:00,4806101,07/28/2011 03:48:34 PM,07/28/2011 03:49:12 PM,1156,034,N,Linda's Catering,6001429.29726,2111812.45298,37.778714701469028,-122.43862952870502,"(37.778714701469, -122.438629528705)",11,15,8,39,29490
5,Friday,10AM,3PM,19MFF-00021,290 TOWNSEND ST,10:00am-3:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328723,,10:00,15:00,12662000,07/28/2011 02:28:19 PM,07/28/2011 02:28:35 PM,3787,028,N,Linda's Catering,6014079.55674,2111038.10448,37.77730002627586,-122.39481278479886,"(37.7773000262759, -122.394812784799)",9,6,2,34,28856
2,Tuesday,12PM,10PM,19MFF-00021,260 TOWNSEND ST,12:00pm-10:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328724,,12:00,22:00,12662000,07/28/2011 03:47:19 PM,07/28/2011 03:48:03 PM,3787,024,N,Linda's Catering,6014282.70792,2111232.20872,37.77784428606796,-122.39412360606173,"(37.777844286068, -122.394123606062)",9,6,2,34,28856
5,Friday,9AM,11AM,19MFF-00021,501 BEALE ST,9:30am-10:30am,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328726,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,004,N,Linda's Catering,6015664.82698,2114260.34377,37.786235585849759,-122.38955386959697,"(37.7862355858498, -122.389553869597)",9,6,2,8,28855
1,Monday,10AM,12PM,19MFF-00021,501 02ND ST,10:30am-12:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328725,,10:00,12:00,142000,07/28/2011 02:29:06 PM,07/28/2011 02:29:24 PM,3774,067,N,Linda's Catering,6014484.53785,2113145.45519,37.783108842973789,-122.39355933745992,"(37.7831088429738, -122.39355933746)",9,6,2,8,28856
5,Friday,7AM,7PM,19MFF-00021,999 DIVISADERO ST,07:00am-07:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328729,,07:00,19:00,4806101,07/28/2011 03:48:34 PM,07/28/2011 03:49:12 PM,1156,034,N,Linda's Catering,6001429.29726,2111812.45298,37.778714701469028,-122.43862952870502,"(37.778714701469, -122.438629528705)",11,15,8,39,29490
5,Friday,8AM,9AM,19MFF-00021,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328727,,08:00,09:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,055,N,Linda's Catering,6013050.80889,2111752.23549,37.779203613561471,-122.39842170074918,"(37.7792036135615, -122.398421700749)",9,6,2,34,28856
4,Thursday,10AM,3PM,19MFF-00021,290 TOWNSEND ST,10:00am-3:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328723,,10:00,15:00,12662000,07/28/2011 02:28:19 PM,07/28/2011 02:28:35 PM,3787,028,N,Linda's Catering,6014079.55674,2111038.10448,37.77730002627586,-122.39481278479886,"(37.7773000262759, -122.394812784799)",9,6,2,34,28856
1,Monday,8AM,9AM,19MFF-00021,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328727,,08:00,09:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,055,N,Linda's Catering,6013050.80889,2111752.23549,37.779203613561471,-122.39842170074918,"(37.7792036135615, -122.398421700749)",9,6,2,34,28856
6,Saturday,9AM,11AM,19MFF-00021,501 BEALE ST,9:30am-10:30am,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328726,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,004,N,Linda's Catering,6015664.82698,2114260.34377,37.786235585849759,-122.38955386959697,"(37.7862355858498, -122.389553869597)",9,6,2,8,28855
3,Wednesday,10AM,12PM,19MFF-00021,501 02ND ST,10:30am-12:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328725,,10:00,12:00,142000,07/28/2011 02:29:06 PM,07/28/2011 02:29:24 PM,3774,067,N,Linda's Catering,6014484.53785,2113145.45519,37.783108842973789,-122.39355933745992,"(37.7831088429738, -122.39355933746)",9,6,2,8,28856
2,Tuesday,10AM,3PM,19MFF-00021,290 TOWNSEND ST,10:00am-3:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328723,,10:00,15:00,12662000,07/28/2011 02:28:19 PM,07/28/2011 02:28:35 PM,3787,028,N,Linda's Catering,6014079.55674,2111038.10448,37.77730002627586,-122.39481278479886,"(37.7773000262759, -122.394812784799)",9,6,2,34,28856
5,Friday,10AM,11AM,19MFF-00021,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328727,,10:00,11:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,055,N,Linda's Catering,6013050.80889,2111752.23549,37.779203613561471,-122.39842170074918,"(37.7792036135615, -122.398421700749)",9,6,2,34,28856
1,Monday,12PM,10PM,19MFF-00021,260 TOWNSEND ST,12:00pm-10:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328724,,12:00,22:00,12662000,07/28/2011 03:47:19 PM,07/28/2011 03:48:03 PM,3787,024,N,Linda's Catering,6014282.70792,2111232.20872,37.77784428606796,-122.39412360606173,"(37.777844286068, -122.394123606062)",9,6,2,34,28856
1,Monday,7AM,7PM,19MFF-00021,999 DIVISADERO ST,07:00am-07:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328729,,07:00,19:00,4806101,07/28/2011 03:48:34 PM,07/28/2011 03:49:12 PM,1156,034,N,Linda's Catering,6001429.29726,2111812.45298,37.778714701469028,-122.43862952870502,"(37.778714701469, -122.438629528705)",11,15,8,39,29490
4,Thursday,12PM,10PM,19MFF-00021,260 TOWNSEND ST,12:00pm-10:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328724,,12:00,22:00,12662000,07/28/2011 03:47:19 PM,07/28/2011 03:48:03 PM,3787,024,N,Linda's Catering,6014282.70792,2111232.20872,37.77784428606796,-122.39412360606173,"(37.777844286068, -122.394123606062)",9,6,2,34,28856
3,Wednesday,10AM,3PM,19MFF-00021,290 TOWNSEND ST,10:00am-3:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328723,,10:00,15:00,12662000,07/28/2011 02:28:19 PM,07/28/2011 02:28:35 PM,3787,028,N,Linda's Catering,6014079.55674,2111038.10448,37.77730002627586,-122.39481278479886,"(37.7773000262759, -122.394812784799)",9,6,2,34,28856
2,Tuesday,9AM,11AM,19MFF-00021,501 BEALE ST,9:30am-10:30am,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328726,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,004,N,Linda's Catering,6015664.82698,2114260.34377,37.786235585849759,-122.38955386959697,"(37.7862355858498, -122.389553869597)",9,6,2,8,28855
4,Thursday,9AM,11AM,19MFF-00021,501 BEALE ST,9:30am-10:30am,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328726,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,004,N,Linda's Catering,6015664.82698,2114260.34377,37.786235585849759,-122.38955386959697,"(37.7862355858498, -122.389553869597)",9,6,2,8,28855
1,Monday,9AM,11AM,19MFF-00021,501 BEALE ST,9:30am-10:30am,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328726,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,004,N,Linda's Catering,6015664.82698,2114260.34377,37.786235585849759,-122.38955386959697,"(37.7862355858498, -122.389553869597)",9,6,2,8,28855
3,Wednesday,12PM,10PM,19MFF-00021,260 TOWNSEND ST,12:00pm-10:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328724,,12:00,22:00,12662000,07/28/2011 03:47:19 PM,07/28/2011 03:48:03 PM,3787,024,N,Linda's Catering,6014282.70792,2111232.20872,37.77784428606796,-122.39412360606173,"(37.777844286068, -122.394123606062)",9,6,2,34,28856
2,Tuesday,10AM,12PM,19MFF-00021,501 02ND ST,10:30am-12:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328725,,10:00,12:00,142000,07/28/2011 02:29:06 PM,07/28/2011 02:29:24 PM,3774,067,N,Linda's Catering,6014484.53785,2113145.45519,37.783108842973789,-122.39355933745992,"(37.7831088429738, -122.39355933746)",9,6,2,8,28856
2,Tuesday,8AM,9AM,19MFF-00021,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328727,,08:00,09:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,055,N,Linda's Catering,6013050.80889,2111752.23549,37.779203613561471,-122.39842170074918,"(37.7792036135615, -122.398421700749)",9,6,2,34,28856
0,Sunday,9AM,5PM,19MFF-00021,1219 07TH AVE,Set-up at 1209 7th Avenue,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328728,,09:00,17:00,358000,07/28/2011 03:59:50 PM,07/28/2011 04:00:09 PM,1743,003,N,Linda's Catering,5993899.72394,2107188.91099,37.765588472761685,-122.46434127652903,"(37.7655884727617, -122.464341276529)",11,11,8,14,56
2,Tuesday,10AM,11AM,19MFF-00021,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328727,,10:00,11:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,055,N,Linda's Catering,6013050.80889,2111752.23549,37.779203613561471,-122.39842170074918,"(37.7792036135615, -122.398421700749)",9,6,2,34,28856
4,Thursday,8AM,9AM,19MFF-00021,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",1328727,,08:00,09:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,055,N,Linda's Catering,6013050.80889,2111752.23549,37.779203613561471,-122.39842170074918,"(37.7792036135615, -122.398421700749)",9,6,2,34,28856
6,Saturday,11AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,11:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
4,Thursday,8AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,08:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
